,Locality,Price,Number of bedrooms,Livable surface,Number of bathrooms,Balcony,Furnished,Surface of living-room,Elevator,Terrace,Surface terrace,Garden,Surface garden,Kitchen equipment_Fully equipped,Kitchen equipment_Not equipped,State of the property_New,State of the property_To be renovated,Type of property_house,Subtype of property_apartment,Subtype of property_villa
108,1,199000,1.0,37.0,1,0,0,32.0,1,0,0.0,0,117.77309997167696,0,0,0,0,0,0,0
109,1,450000,2.0,101.0,1,0,0,29.58247483214533,1,1,25.0,0,321.4887323551182,0,0,0,0,0,0,0
110,1,525000,1.0,114.0,1,0,0,33.39012010756998,0,0,0.0,0,362.8684701830047,0,0,1,0,0,0,0
111,1,695000,3.0,180.0,1,0,0,70.0,1,1,25.0,0,572.9502160784284,0,0,0,0,0,0,0
112,1,450000,1.0,67.0,1,0,1,19.6240179579578,1,1,17.0,0,213.26480265141504,0,0,1,0,0,0,0
113,1,305000,1.0,62.0,1,0,0,18.15953900587139,1,0,0.0,0,197.34951887145868,0,0,0,0,0,0,0
114,1,415000,2.0,97.0,2,0,0,34.0,1,1,60.0,0,308.7565053311531,0,0,1,0,0,0,0
115,1,229000,1.0,75.0,1,0,0,25.0,1,0,0.0,1,1000.0,0,0,0,0,0,0,0
116,1,325000,2.0,100.0,1,0,0,29.289579041728047,0,0,0.0,1,50.0,0,0,0,0,0,0,0
117,1,379000,1.0,80.0,1,0,0,25.0,1,0,0.0,0,254.64454047930155,0,0,0,0,0,0,0
118,1,760000,3.0,205.0,1,0,0,50.0,0,0,0.0,0,652.5266349782102,0,0,0,0,0,0,0
119,1,434000,3.0,153.0,2,0,0,44.81305593384391,0,1,53.0,0,487.0076836666642,0,0,1,0,0,0,0
120,1,429000,3.0,147.0,2,0,0,43.05568119134023,0,1,53.0,0,467.9093431307166,0,0,1,0,0,0,0
121,1,414000,3.0,145.0,2,0,0,42.46988961050567,0,1,53.0,0,461.543229618734,0,0,1,0,0,0,0
122,1,480000,2.0,158.0,1,0,0,45.0,0,1,10.0,0,502.9229674466205,0,0,0,0,0,0,0
123,1,349000,2.0,85.0,1,0,0,24.89614218546884,0,0,0.0,0,270.5598242592579,0,0,0,0,0,0,0
124,1,269000,2.0,80.0,1,0,0,23.43166323338244,0,0,0.0,0,254.64454047930155,0,0,0,0,0,0,0
125,1,685000,4.0,160.0,2,0,0,60.0,0,0,0.0,0,509.2890809586031,0,0,0,0,0,0,0
126,1,420000,2.0,98.0,1,0,0,28.703787460893487,0,1,10.0,0,311.9395620871444,0,0,0,0,0,0,0
127,1,420000,2.0,88.0,1,0,0,25.77482955672068,0,1,5.0,0,280.1089945272317,0,0,0,0,0,0,0
128,1,385000,1.0,65.0,1,0,0,19.03822637712323,0,1,25.0,0,206.8986891394325,0,0,0,0,0,0,0
129,1,345000,2.0,106.0,1,0,0,31.04695378423173,0,0,0.0,0,337.4040161350745,0,0,0,0,0,0,0
130,1,365000,2.0,112.0,1,0,0,32.80432852673541,0,0,0.0,0,356.50235667102214,0,1,0,0,0,0,0
131,1,365000,1.0,73.0,1,0,0,35.0,1,0,0.0,0,232.36314318736265,0,0,1,0,0,0,0
132,1,499000,2.0,110.0,1,0,0,32.21853694590085,0,1,20.0,1,15.0,0,0,0,0,0,0,0
133,1,399000,2.0,130.0,1,0,0,38.07645275424646,0,0,0.0,0,413.797378278865,0,1,0,0,0,0,0
134,1,345000,2.0,115.0,1,0,0,33.683015897987254,0,0,0.0,0,366.051526938996,0,0,0,0,0,0,0
135,1,469000,6.0,220.0,1,0,0,30.0,0,0,0.0,0,700.2724863180792,0,0,0,0,1,0,0
136,1,380000,5.0,140.0,2,0,0,30.0,0,1,15.0,0,445.6279458387777,0,0,0,0,1,0,0
137,1,569000,3.0,123.0,1,0,0,30.0,0,0,0.0,0,391.5159809869261,0,0,0,0,1,0,0
138,1,370000,5.0,200.0,2,0,0,40.0,0,1,6.0,0,636.6113511982538,0,0,0,0,1,0,0
139,1,380000,4.0,225.0,1,0,0,30.0,0,0,0.0,0,716.1877700980356,0,0,0,1,1,0,0
140,1,389000,5.0,160.0,1,0,0,46.86332646676488,0,0,0.0,1,45.0,0,0,0,1,1,0,0
141,1,695000,3.0,180.0,2,0,0,45.0,0,0,0.0,1,43.0,0,0,0,0,1,0,0
142,1,500000,4.0,200.0,2,0,0,18.0,0,0,0.0,0,636.6113511982538,0,0,0,0,1,0,0
143,1,499000,6.0,220.0,1,0,0,35.0,0,0,0.0,1,50.0,0,0,0,1,1,0,0
144,1,935000,5.0,327.0,2,0,0,95.77692346645073,0,0,0.0,1,1.0,0,1,0,1,1,0,0
145,1,430000,4.0,195.0,1,0,0,57.11467913136969,0,0,0.0,0,620.6960674182975,0,0,0,0,1,0,0
146,1,470000,2.0,100.0,2,0,0,40.0,1,1,3.0,0,318.3056755991269,0,0,0,0,0,1,0
147,1,370000,2.0,87.0,1,0,0,30.0,1,1,6.0,0,276.9259377712404,0,0,0,0,0,1,0
148,1,285000,2.0,70.0,1,0,0,20.50270532920964,0,1,3.0,0,222.81397291938885,0,0,0,0,0,1,0
149,1,345000,2.0,83.0,1,0,0,23.0,1,1,3.0,0,264.19371074727536,0,0,0,0,0,1,0
150,1,265000,2.0,70.0,1,0,0,35.0,1,1,4.0,0,222.81397291938885,0,0,0,0,0,1,0
151,1,469000,2.0,100.0,1,0,0,25.0,0,0,0.0,0,318.3056755991269,0,0,0,0,0,1,0
152,1,249000,1.0,62.0,1,0,0,24.0,1,1,36.0,0,197.34951887145868,0,0,0,0,0,1,0
153,1,249000,1.0,54.0,1,0,1,30.0,1,1,7.0,0,171.88506482352855,0,0,0,0,0,1,0
154,1,395000,1.0,102.0,1,0,0,29.87537062256261,1,1,5.0,0,324.6717891111095,0,0,0,0,0,1,0
155,1,275000,1.0,105.0,1,0,0,60.0,1,0,0.0,0,334.2209593790833,0,0,0,0,0,1,0
156,1,485000,2.0,120.0,2,0,0,56.0,1,1,15.0,0,381.96681071895233,0,0,0,0,0,1,0
157,1,365000,1.0,77.0,1,0,0,30.0,1,0,0.0,0,245.0953702113277,0,0,0,0,0,1,0
158,1,499000,3.0,125.0,2,0,0,40.0,1,1,80.0,1,10.0,0,0,0,0,0,1,0
159,1,249000,3.0,80.0,1,0,0,23.43166323338244,0,0,0.0,0,254.64454047930155,0,0,0,0,0,1,0
160,1,239000,1.0,50.0,1,0,0,18.0,1,1,4.0,0,159.15283779956346,1,0,0,0,0,1,0
161,1,140000,1.0,50.0,1,0,0,20.0,1,0,0.0,0,159.15283779956346,0,0,0,0,0,1,0
162,1,435000,2.0,100.0,1,0,0,40.0,1,1,8.0,0,318.3056755991269,0,0,0,0,0,1,0
163,1,252000,1.0,70.0,1,0,0,20.50270532920964,0,1,7.0,0,222.81397291938885,0,0,0,0,0,1,0
164,1,275000,2.0,77.0,1,0,0,22.5529758621306,0,1,20.0,0,245.0953702113277,0,0,0,0,0,1,0
165,1,395000,2.0,101.0,1,0,0,19.0,1,0,0.0,0,321.4887323551182,0,0,1,0,0,1,0
